Wall time,Step,Value
1688767228.4567225,352561,3.71451997756958
1688767269.787158,352629,3.587630033493042
1688767271.3111854,352634,3.643549919128418
1688767610.478775,353206,3.5055899620056152
1688770476.005976,357925,3.532289981842041
1688770575.5589747,358084,3.25858998298645
1688770623.6942003,358163,3.571190118789673
1688770647.756469,358197,3.3157200813293457
1688770881.4787397,358583,3.358599901199341
1688771018.8220623,358808,3.4330899715423584
1688771380.732423,359383,3.4863500595092773
1688771635.5037582,359791,3.69815993309021
1688771973.6389885,360334,3.2641000747680664
1688772045.962174,360450,3.360690116882324
1688772252.8501391,360775,3.525099992752075
1688772467.549406,361122,3.647170066833496
1688772929.6813922,361846,3.464449882507324
1688773006.3029227,361929,3.882460117340088
1688773794.0142915,363062,3.4148499965667725
1688774608.8379195,364335,3.554759979248047
1688774892.2372155,364771,3.609639883041382
1688774910.0639474,364799,3.408590078353882
1688775279.6869333,365368,3.800610065460205
1688776267.9647634,366869,3.510509967803955
1688777230.4217577,368317,3.5905799865722656
1688777500.5981946,368722,3.4672999382019043
1688778154.044797,369706,3.680449962615967
1688778350.7067087,370002,3.3514599800109863
1688778915.830831,370838,3.5585598945617676
1688779109.5857034,371126,3.661210060119629
1688779197.2226202,371253,3.7125399112701416
1688779242.5676632,371316,3.2635600566864014
1688779516.8682342,371728,3.373769998550415
1688780960.2363791,373828,3.69638991355896
1688781356.025975,374388,3.6084399223327637
1688781676.0521307,374856,3.5898098945617676
1688781812.2526984,375052,3.4697000980377197
1688781959.2407372,375258,3.4830799102783203
1688782162.7450514,375550,3.775290012359619
1688783158.7352262,376966,3.354789972305298
1688783260.8305714,377112,3.6840999126434326
1688783384.0453694,377283,3.588279962539673
1688783444.909227,377372,3.4187300205230713
1688783841.5099351,377926,3.551680088043213
1688784059.9048944,378232,3.3034000396728516
1688785136.234314,379735,3.428989887237549
1688785204.6576931,379829,3.638430118560791
1688785603.8040245,380382,3.462860107421875
1688785799.9490607,380648,3.545380115509033
1688786528.9309664,381653,3.6941399574279785
1688786936.613746,382209,3.740600109100342
1688787253.2009957,382636,3.247879981994629
1688787458.309576,382912,3.330549955368042
1688787614.5451472,383121,3.6786301136016846
1688788147.0082173,383837,3.432490110397339
1688789402.5649045,385508,3.7215800285339355
1688789593.014875,385755,3.5796499252319336
1688789867.6182873,386120,3.5524299144744873
1688789987.7296612,386272,3.626349925994873
1688791024.5195475,387647,3.640049934387207
1688791074.8222783,387710,3.6108100414276123
1688791281.4617627,387983,3.573780059814453
1688791370.5010471,388097,3.503779888153076
1688791676.6056302,388492,3.512389898300171
1688791942.0324044,388839,3.541670083999634
1688792203.9183912,389175,3.62893009185791
1688792544.3898647,389616,3.69815993309021
1688793800.1454897,391222,3.4479598999023438
1688794601.6626983,392244,3.5920400619506836
1688795532.0927846,393408,3.73799991607666
1688796286.2551281,394359,3.523750066757202
1688796738.2498586,394914,3.587860107421875
1688797298.97172,395607,3.502739906311035
1688797655.4833786,396041,3.435120105743408
1688798321.2745001,396860,3.657749891281128
1688798859.781785,397511,3.652090072631836
1688799076.4886992,397771,3.4068500995635986
1688799215.7394404,397936,3.3856000900268555
1688799423.1909187,398197,3.6731200218200684
1688799434.9364598,398207,3.767780065536499
1688800334.6363256,399283,3.5891199111938477
1688801106.334438,400199,3.7734498977661133
1688801359.7742546,400503,3.64628005027771
1688803587.867996,403111,3.5414299964904785
1688803740.920255,403292,3.2945098876953125
1688803846.843648,403409,3.468669891357422
1688804603.8521729,404202,3.428380012512207
1688805244.0248613,404779,3.7355499267578125
1688806375.8703635,405760,3.3034799098968506
1688806471.2206867,405848,3.471980094909668
1688808373.504655,407518,3.9710299968719482
1688808858.8510094,407950,3.4291698932647705
1688809562.6491418,408551,3.6111600399017334
1688811184.978429,409970,3.7633299827575684
1688812354.737373,411258,3.4615299701690674
1688813090.5800765,412077,3.452320098876953
1688814076.088357,413146,3.6250500679016113
1688814505.6941051,413611,3.721940040588379
1688815800.9065592,415017,3.3160500526428223
1688815906.7595372,415137,3.5327000617980957
1688816361.596009,415637,3.615339994430542
1688816809.9027245,416106,3.6281399726867676
1688817778.9056358,417163,3.4547300338745117
1688818154.8482466,417565,3.4524900913238525
1688818372.593891,417801,3.42330002784729
1688818381.3476775,417809,3.5458099842071533
1688818845.5159166,418312,3.4523398876190186
1688819663.7253377,419188,3.348220109939575
1688820290.2109115,419869,3.364219903945923
1688820905.57459,420525,3.7923998832702637
1688821820.785254,421498,3.5083200931549072
1688821853.2713845,421532,3.7508199214935303
